Ref_Date,GEO,CHAR,DURATION,Vector,Coordinate,Value
2007,Newfoundland and Labrador,"Marital status, widowed","Total travel (x 1,000)",v52857041,2.10.1,105.0
2008,Newfoundland and Labrador,"Marital status, widowed","Total travel (x 1,000)",v52857041,2.10.1,123.0
2009,Newfoundland and Labrador,"Marital status, widowed","Total travel (x 1,000)",v52857041,2.10.1,107.0
2010,Newfoundland and Labrador,"Marital status, widowed","Total travel (x 1,000)",v52857041,2.10.1,114.0
2006,Newfoundland and Labrador,"Marital status, widowed","Overnight travel (x 1,000)",v52857042,2.10.2,62.0
2007,Newfoundland and Labrador,"Marital status, widowed","Overnight travel (x 1,000)",v52857042,2.10.2,45.0
2008,Newfoundland and Labrador,"Marital status, widowed","Overnight travel (x 1,000)",v52857042,2.10.2,48.0
2009,Newfoundland and Labrador,"Marital status, widowed","Overnight travel (x 1,000)",v52857042,2.10.2,45.0
2010,Newfoundland and Labrador,"Marital status, widowed","Overnight travel (x 1,000)",v52857042,2.10.2,39.0
2006,Newfoundland and Labrador,"Marital status, separated","Total travel (x 1,000)",v52857043,2.11.1,46.0
2007,Newfoundland and Labrador,"Marital status, separated","Total travel (x 1,000)",v52857043,2.11.1,39.0
2008,Newfoundland and Labrador,"Marital status, separated","Total travel (x 1,000)",v52857043,2.11.1,38.0
2009,Newfoundland and Labrador,"Marital status, separated","Total travel (x 1,000)",v52857043,2.11.1,94.0
2010,Newfoundland and Labrador,"Marital status, separated","Total travel (x 1,000)",v52857043,2.11.1,73.0
2006,Newfoundland and Labrador,"Marital status, separated","Overnight travel (x 1,000)",v52857044,2.11.2,20.0
2007,Newfoundland and Labrador,"Marital status, separated","Overnight travel (x 1,000)",v52857044,2.11.2,F
2008,Newfoundland and Labrador,"Marital status, separated","Overnight travel (x 1,000)",v52857044,2.11.2,15.0
2009,Newfoundland and Labrador,"Marital status, separated","Overnight travel (x 1,000)",v52857044,2.11.2,40.0
2010,Newfoundland and Labrador,"Marital status, separated","Overnight travel (x 1,000)",v52857044,2.11.2,30.0
2006,Newfoundland and Labrador,"Marital status, divorced","Total travel (x 1,000)",v52857045,2.12.1,78.0
2007,Newfoundland and Labrador,"Marital status, divorced","Total travel (x 1,000)",v52857045,2.12.1,94.0
2008,Newfoundland and Labrador,"Marital status, divorced","Total travel (x 1,000)",v52857045,2.12.1,106.0
2009,Newfoundland and Labrador,"Marital status, divorced","Total travel (x 1,000)",v52857045,2.12.1,81.0
2010,Newfoundland and Labrador,"Marital status, divorced","Total travel (x 1,000)",v52857045,2.12.1,94.0
2006,Newfoundland and Labrador,"Marital status, divorced","Overnight travel (x 1,000)",v52857046,2.12.2,40.0
2007,Newfoundland and Labrador,"Marital status, divorced","Overnight travel (x 1,000)",v52857046,2.12.2,47.0
2008,Newfoundland and Labrador,"Marital status, divorced","Overnight travel (x 1,000)",v52857046,2.12.2,58.0
2009,Newfoundland and Labrador,"Marital status, divorced","Overnight travel (x 1,000)",v52857046,2.12.2,30.0
2010,Newfoundland and Labrador,"Marital status, divorced","Overnight travel (x 1,000)",v52857046,2.12.2,41.0
2006,Newfoundland and Labrador,"Marital status, single, never married","Total travel (x 1,000)",v52857047,2.13.1,639.0
2007,Newfoundland and Labrador,"Marital status, single, never married","Total travel (x 1,000)",v52857047,2.13.1,596.0
2008,Newfoundland and Labrador,"Marital status, single, never married","Total travel (x 1,000)",v52857047,2.13.1,551.0
2009,Newfoundland and Labrador,"Marital status, single, never married","Total travel (x 1,000)",v52857047,2.13.1,727.0
2010,Newfoundland and Labrador,"Marital status, single, never married","Total travel (x 1,000)",v52857047,2.13.1,608.0
2006,Newfoundland and Labrador,"Marital status, single, never married","Overnight travel (x 1,000)",v52857048,2.13.2,300.0
2007,Newfoundland and Labrador,"Marital status, single, never married","Overnight travel (x 1,000)",v52857048,2.13.2,322.0
2008,Newfoundland and Labrador,"Marital status, single, never married","Overnight travel (x 1,000)",v52857048,2.13.2,285.0
2009,Newfoundland and Labrador,"Marital status, single, never married","Overnight travel (x 1,000)",v52857048,2.13.2,302.0
2010,Newfoundland and Labrador,"Marital status, single, never married","Overnight travel (x 1,000)",v52857048,2.13.2,300.0
2006,Newfoundland and Labrador,"Income level, under $25,000","Total travel (x 1,000)",v52857049,2.14.1,464.0
2007,Newfoundland and Labrador,"Income level, under $25,000","Total travel (x 1,000)",v52857049,2.14.1,359.0
2008,Newfoundland and Labrador,"Income level, under $25,000","Total travel (x 1,000)",v52857049,2.14.1,326.0
2009,Newfoundland and Labrador,"Income level, under $25,000","Total travel (x 1,000)",v52857049,2.14.1,392.0
2010,Newfoundland and Labrador,"Income level, under $25,000","Total travel (x 1,000)",v52857049,2.14.1,320.0
2006,Newfoundland and Labrador,"Income level, under $25,000","Overnight travel (x 1,000)",v52857050,2.14.2,182.0
2007,Newfoundland and Labrador,"Income level, under $25,000","Overnight travel (x 1,000)",v52857050,2.14.2,160.0
2008,Newfoundland and Labrador,"Income level, under $25,000","Overnight travel (x 1,000)",v52857050,2.14.2,142.0
2009,Newfoundland and Labrador,"Income level, under $25,000","Overnight travel (x 1,000)",v52857050,2.14.2,166.0
2010,Newfoundland and Labrador,"Income level, under $25,000","Overnight travel (x 1,000)",v52857050,2.14.2,128.0
2006,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52857051,2.15.1,788.0
2007,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52857051,2.15.1,730.0
2008,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52857051,2.15.1,725.0
2009,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52857051,2.15.1,826.0
2010,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52857051,2.15.1,838.0
2006,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52857052,2.15.2,335.0
2007,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52857052,2.15.2,347.0
2008,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52857052,2.15.2,284.0
2009,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52857052,2.15.2,294.0
2010,Newfoundland and Labrador,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52857052,2.15.2,322.0
2006,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52857053,2.16.1,599.0
2007,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52857053,2.16.1,617.0
2008,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52857053,2.16.1,651.0
2009,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52857053,2.16.1,596.0
2010,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52857053,2.16.1,796.0
2006,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52857054,2.16.2,321.0
2007,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52857054,2.16.2,283.0
2008,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52857054,2.16.2,305.0
2009,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52857054,2.16.2,260.0
2010,Newfoundland and Labrador,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52857054,2.16.2,322.0
2006,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52857055,2.17.1,404.0
2007,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52857055,2.17.1,371.0
2008,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52857055,2.17.1,411.0
2009,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52857055,2.17.1,446.0
2010,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52857055,2.17.1,534.0
2006,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52857056,2.17.2,190.0
2007,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52857056,2.17.2,179.0
2008,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52857056,2.17.2,190.0
2009,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52857056,2.17.2,213.0
2010,Newfoundland and Labrador,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52857056,2.17.2,222.0
2006,Newfoundland and Labrador,"Income level, $100,000 and over","Total travel (x 1,000)",v52857057,2.18.1,509.0
2007,Newfoundland and Labrador,"Income level, $100,000 and over","Total travel (x 1,000)",v52857057,2.18.1,545.0
2008,Newfoundland and Labrador,"Income level, $100,000 and over","Total travel (x 1,000)",v52857057,2.18.1,561.0
2009,Newfoundland and Labrador,"Income level, $100,000 and over","Total travel (x 1,000)",v52857057,2.18.1,669.0
2010,Newfoundland and Labrador,"Income level, $100,000 and over","Total travel (x 1,000)",v52857057,2.18.1,662.0
2006,Newfoundland and Labrador,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52857058,2.18.2,283.0
2007,Newfoundland and Labrador,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52857058,2.18.2,271.0
2008,Newfoundland and Labrador,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52857058,2.18.2,301.0
2009,Newfoundland and Labrador,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52857058,2.18.2,353.0
2010,Newfoundland and Labrador,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52857058,2.18.2,356.0
2006,Newfoundland and Labrador,"Income level, not stated","Total travel (x 1,000)",v52857059,2.19.1,303.0
2007,Newfoundland and Labrador,"Income level, not stated","Total travel (x 1,000)",v52857059,2.19.1,317.0
2008,Newfoundland and Labrador,"Income level, not stated","Total travel (x 1,000)",v52857059,2.19.1,332.0
2009,Newfoundland and Labrador,"Income level, not stated","Total travel (x 1,000)",v52857059,2.19.1,325.0
2010,Newfoundland and Labrador,"Income level, not stated","Total travel (x 1,000)",v52857059,2.19.1,350.0
2006,Newfoundland and Labrador,"Income level, not stated","Overnight travel (x 1,000)",v52857060,2.19.2,130.0
2007,Newfoundland and Labrador,"Income level, not stated","Overnight travel (x 1,000)",v52857060,2.19.2,162.0
2008,Newfoundland and Labrador,"Income level, not stated","Overnight travel (x 1,000)",v52857060,2.19.2,148.0
2009,Newfoundland and Labrador,"Income level, not stated","Overnight travel (x 1,000)",v52857060,2.19.2,131.0
2010,Newfoundland and Labrador,"Income level, not stated","Overnight travel (x 1,000)",v52857060,2.19.2,158.0
2006,Newfoundland and Labrador,"Age group, 18 - 19 years","Total travel (x 1,000)",v52857061,2.20.1,146.0
2007,Newfoundland and Labrador,"Age group, 18 - 19 years","Total travel (x 1,000)",v52857061,2.20.1,149.0
2008,Newfoundland and Labrador,"Age group, 18 - 19 years","Total travel (x 1,000)",v52857061,2.20.1,139.0
2009,Newfoundland and Labrador,"Age group, 18 - 19 years","Total travel (x 1,000)",v52857061,2.20.1,192.0
2010,Newfoundland and Labrador,"Age group, 18 - 19 years","Total travel (x 1,000)",v52857061,2.20.1,92.0
2006,Newfoundland and Labrador,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52857062,2.20.2,64.0
2007,Newfoundland and Labrador,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52857062,2.20.2,91.0
2008,Newfoundland and Labrador,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52857062,2.20.2,61.0
2009,Newfoundland and Labrador,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52857062,2.20.2,57.0
2010,Newfoundland and Labrador,"Age group, 18 - 19 years","Overnight travel (x 1,000)",v52857062,2.20.2,63.0
2006,Newfoundland and Labrador,"Age group, 20 to 24 years","Total travel (x 1,000)",v52857063,2.21.1,271.0
2007,Newfoundland and Labrador,"Age group, 20 to 24 years","Total travel (x 1,000)",v52857063,2.21.1,266.0
2008,Newfoundland and Labrador,"Age group, 20 to 24 years","Total travel (x 1,000)",v52857063,2.21.1,215.0
2009,Newfoundland and Labrador,"Age group, 20 to 24 years","Total travel (x 1,000)",v52857063,2.21.1,248.0
2010,Newfoundland and Labrador,"Age group, 20 to 24 years","Total travel (x 1,000)",v52857063,2.21.1,264.0
2006,Newfoundland and Labrador,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52857064,2.21.2,133.0
2007,Newfoundland and Labrador,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52857064,2.21.2,147.0
2008,Newfoundland and Labrador,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52857064,2.21.2,123.0
2009,Newfoundland and Labrador,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52857064,2.21.2,124.0
2010,Newfoundland and Labrador,"Age group, 20 to 24 years","Overnight travel (x 1,000)",v52857064,2.21.2,131.0
2006,Newfoundland and Labrador,"Age group, 25 to 34 years","Total travel (x 1,000)",v52857065,2.22.1,462.0
2007,Newfoundland and Labrador,"Age group, 25 to 34 years","Total travel (x 1,000)",v52857065,2.22.1,444.0
2008,Newfoundland and Labrador,"Age group, 25 to 34 years","Total travel (x 1,000)",v52857065,2.22.1,519.0
2009,Newfoundland and Labrador,"Age group, 25 to 34 years","Total travel (x 1,000)",v52857065,2.22.1,542.0
2010,Newfoundland and Labrador,"Age group, 25 to 34 years","Total travel (x 1,000)",v52857065,2.22.1,642.0
2006,Newfoundland and Labrador,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52857066,2.22.2,245.0
2007,Newfoundland and Labrador,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52857066,2.22.2,219.0
2008,Newfoundland and Labrador,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52857066,2.22.2,273.0
2009,Newfoundland and Labrador,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52857066,2.22.2,251.0
2010,Newfoundland and Labrador,"Age group, 25 to 34 years","Overnight travel (x 1,000)",v52857066,2.22.2,267.0
2006,Newfoundland and Labrador,"Age group, 35 to 44 years","Total travel (x 1,000)",v52857067,2.23.1,584.0
2007,Newfoundland and Labrador,"Age group, 35 to 44 years","Total travel (x 1,000)",v52857067,2.23.1,590.0
2008,Newfoundland and Labrador,"Age group, 35 to 44 years","Total travel (x 1,000)",v52857067,2.23.1,526.0
2009,Newfoundland and Labrador,"Age group, 35 to 44 years","Total travel (x 1,000)",v52857067,2.23.1,562.0
2010,Newfoundland and Labrador,"Age group, 35 to 44 years","Total travel (x 1,000)",v52857067,2.23.1,618.0
2006,Newfoundland and Labrador,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52857068,2.23.2,285.0
2007,Newfoundland and Labrador,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52857068,2.23.2,283.0
2008,Newfoundland and Labrador,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52857068,2.23.2,242.0
2009,Newfoundland and Labrador,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52857068,2.23.2,270.0
2010,Newfoundland and Labrador,"Age group, 35 to 44 years","Overnight travel (x 1,000)",v52857068,2.23.2,329.0
2006,Newfoundland and Labrador,"Age group, 45 to 54 years","Total travel (x 1,000)",v52857069,2.24.1,740.0
2007,Newfoundland and Labrador,"Age group, 45 to 54 years","Total travel (x 1,000)",v52857069,2.24.1,643.0
2008,Newfoundland and Labrador,"Age group, 45 to 54 years","Total travel (x 1,000)",v52857069,2.24.1,584.0
2009,Newfoundland and Labrador,"Age group, 45 to 54 years","Total travel (x 1,000)",v52857069,2.24.1,711.0
2010,Newfoundland and Labrador,"Age group, 45 to 54 years","Total travel (x 1,000)",v52857069,2.24.1,712.0
2006,Newfoundland and Labrador,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52857070,2.24.2,327.0
2007,Newfoundland and Labrador,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52857070,2.24.2,288.0
2008,Newfoundland and Labrador,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52857070,2.24.2,260.0
2009,Newfoundland and Labrador,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52857070,2.24.2,323.0
2010,Newfoundland and Labrador,"Age group, 45 to 54 years","Overnight travel (x 1,000)",v52857070,2.24.2,266.0
2006,Newfoundland and Labrador,"Age group, 55 to 64 years","Total travel (x 1,000)",v52857071,2.25.1,515.0
2007,Newfoundland and Labrador,"Age group, 55 to 64 years","Total travel (x 1,000)",v52857071,2.25.1,549.0
2008,Newfoundland and Labrador,"Age group, 55 to 64 years","Total travel (x 1,000)",v52857071,2.25.1,635.0
2009,Newfoundland and Labrador,"Age group, 55 to 64 years","Total travel (x 1,000)",v52857071,2.25.1,586.0
2010,Newfoundland and Labrador,"Age group, 55 to 64 years","Total travel (x 1,000)",v52857071,2.25.1,662.0
2006,Newfoundland and Labrador,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52857072,2.25.2,234.0
2007,Newfoundland and Labrador,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52857072,2.25.2,248.0
2008,Newfoundland and Labrador,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52857072,2.25.2,242.0
2009,Newfoundland and Labrador,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52857072,2.25.2,224.0
2010,Newfoundland and Labrador,"Age group, 55 to 64 years","Overnight travel (x 1,000)",v52857072,2.25.2,248.0
2006,Newfoundland and Labrador,"Age group, 65 to 69 years","Total travel (x 1,000)",v52857073,2.26.1,184.0
2007,Newfoundland and Labrador,"Age group, 65 to 69 years","Total travel (x 1,000)",v52857073,2.26.1,122.0
2008,Newfoundland and Labrador,"Age group, 65 to 69 years","Total travel (x 1,000)",v52857073,2.26.1,189.0
2009,Newfoundland and Labrador,"Age group, 65 to 69 years","Total travel (x 1,000)",v52857073,2.26.1,181.0
2010,Newfoundland and Labrador,"Age group, 65 to 69 years","Total travel (x 1,000)",v52857073,2.26.1,269.0
2006,Newfoundland and Labrador,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52857074,2.26.2,69.0
2007,Newfoundland and Labrador,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52857074,2.26.2,57.0
2008,Newfoundland and Labrador,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52857074,2.26.2,81.0
2009,Newfoundland and Labrador,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52857074,2.26.2,81.0
2010,Newfoundland and Labrador,"Age group, 65 to 69 years","Overnight travel (x 1,000)",v52857074,2.26.2,101.0
2006,Newfoundland and Labrador,"Age group, 70 years and over","Total travel (x 1,000)",v52857075,2.27.1,166.0
2007,Newfoundland and Labrador,"Age group, 70 years and over","Total travel (x 1,000)",v52857075,2.27.1,176.0
2008,Newfoundland and Labrador,"Age group, 70 years and over","Total travel (x 1,000)",v52857075,2.27.1,199.0
2009,Newfoundland and Labrador,"Age group, 70 years and over","Total travel (x 1,000)",v52857075,2.27.1,233.0
2010,Newfoundland and Labrador,"Age group, 70 years and over","Total travel (x 1,000)",v52857075,2.27.1,241.0
2006,Newfoundland and Labrador,"Age group, 70 years and over","Overnight travel (x 1,000)",v52857076,2.27.2,86.0
2007,Newfoundland and Labrador,"Age group, 70 years and over","Overnight travel (x 1,000)",v52857076,2.27.2,69.0
2008,Newfoundland and Labrador,"Age group, 70 years and over","Overnight travel (x 1,000)",v52857076,2.27.2,87.0
2009,Newfoundland and Labrador,"Age group, 70 years and over","Overnight travel (x 1,000)",v52857076,2.27.2,87.0
2010,Newfoundland and Labrador,"Age group, 70 years and over","Overnight travel (x 1,000)",v52857076,2.27.2,103.0
2006,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52857077,2.28.1,174.0
2007,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52857077,2.28.1,127.0
2008,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52857077,2.28.1,134.0
2009,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52857077,2.28.1,149.0
2010,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Total travel (x 1,000)",v52857077,2.28.1,158.0
2006,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52857078,2.28.2,67.0
2007,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52857078,2.28.2,47.0
2008,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52857078,2.28.2,44.0
2009,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52857078,2.28.2,39.0
2010,Newfoundland and Labrador,"Educational attainment, grade 8 or lower","Overnight travel (x 1,000)",v52857078,2.28.2,50.0
2006,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52857079,2.29.1,295.0
2007,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52857079,2.29.1,201.0
2008,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52857079,2.29.1,224.0
2009,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52857079,2.29.1,263.0
2010,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Total travel (x 1,000)",v52857079,2.29.1,246.0
2006,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52857080,2.29.2,114.0
2007,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52857080,2.29.2,85.0
2008,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52857080,2.29.2,76.0
2009,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52857080,2.29.2,97.0
2010,Newfoundland and Labrador,"Educational attainment, grade 9 or 10","Overnight travel (x 1,000)",v52857080,2.29.2,71.0
2006,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857081,2.30.1,66.0
2007,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857081,2.30.1,67.0
2008,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857081,2.30.1,96.0
2009,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857081,2.30.1,122.0
2010,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Total travel (x 1,000)",v52857081,2.30.1,F
2006,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Overnight travel (x 1,000)",v52857082,2.30.2,25.0
2007,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Overnight travel (x 1,000)",v52857082,2.30.2,29.0
2008,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Overnight travel (x 1,000)",v52857082,2.30.2,47.0
2009,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Overnight travel (x 1,000)",v52857082,2.30.2,55.0
2010,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - non graduate","Overnight travel (x 1,000)",v52857082,2.30.2,F
2006,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Total travel (x 1,000)",v52857083,2.31.1,534.0
2007,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Total travel (x 1,000)",v52857083,2.31.1,544.0
2008,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Total travel (x 1,000)",v52857083,2.31.1,549.0
2009,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Total travel (x 1,000)",v52857083,2.31.1,443.0
2010,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Total travel (x 1,000)",v52857083,2.31.1,606.0
2006,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Overnight travel (x 1,000)",v52857084,2.31.2,253.0
2007,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Overnight travel (x 1,000)",v52857084,2.31.2,276.0
2008,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Overnight travel (x 1,000)",v52857084,2.31.2,237.0
2009,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Overnight travel (x 1,000)",v52857084,2.31.2,182.0
2010,Newfoundland and Labrador,"Educational attainment, grade 11 to 13 - graduate","Overnight travel (x 1,000)",v52857084,2.31.2,249.0
2006,Newfoundland and Labrador,"Educational attainment, some postsecondary","Total travel (x 1,000)",v52857085,2.32.1,335.0
2007,Newfoundland and Labrador,"Educational attainment, some postsecondary","Total travel (x 1,000)",v52857085,2.32.1,303.0
2008,Newfoundland and Labrador,"Educational attainment, some postsecondary","Total travel (x 1,000)",v52857085,2.32.1,223.0
2009,Newfoundland and Labrador,"Educational attainment, some postsecondary","Total travel (x 1,000)",v52857085,2.32.1,295.0
2010,Newfoundland and Labrador,"Educational attainment, some postsecondary","Total travel (x 1,000)",v52857085,2.32.1,309.0
2006,Newfoundland and Labrador,"Educational attainment, some postsecondary","Overnight travel (x 1,000)",v52857086,2.32.2,147.0
2007,Newfoundland and Labrador,"Educational attainment, some postsecondary","Overnight travel (x 1,000)",v52857086,2.32.2,169.0
2008,Newfoundland and Labrador,"Educational attainment, some postsecondary","Overnight travel (x 1,000)",v52857086,2.32.2,123.0
2009,Newfoundland and Labrador,"Educational attainment, some postsecondary","Overnight travel (x 1,000)",v52857086,2.32.2,117.0
2010,Newfoundland and Labrador,"Educational attainment, some postsecondary","Overnight travel (x 1,000)",v52857086,2.32.2,139.0
2006,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Total travel (x 1,000)",v52857087,2.33.1,570.0
2007,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Total travel (x 1,000)",v52857087,2.33.1,620.0
2008,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Total travel (x 1,000)",v52857087,2.33.1,551.0
2009,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Total travel (x 1,000)",v52857087,2.33.1,604.0
2010,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Total travel (x 1,000)",v52857087,2.33.1,837.0
2006,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Overnight travel (x 1,000)",v52857088,2.33.2,256.0
2007,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Overnight travel (x 1,000)",v52857088,2.33.2,251.0
2008,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Overnight travel (x 1,000)",v52857088,2.33.2,238.0
2009,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Overnight travel (x 1,000)",v52857088,2.33.2,263.0
2010,Newfoundland and Labrador,"Educational attainment, trade certificate or diploma","Overnight travel (x 1,000)",v52857088,2.33.2,324.0
2006,Newfoundland and Labrador,"Educational attainment, community college, CEGEP and others","Total travel (x 1,000)",v52857089,2.34.1,483.0
2007,Newfoundland and Labrador,"Educational attainment, community college, CEGEP and others","Total travel (x 1,000)",v52857089,2.34.1,483.0
2008,Newfoundland and Labrador,"Educational attainment, community college, CEGEP and others","Total travel (x 1,000)",v52857089,2.34.1,537.0
2009,Newfoundland and Labrador,"Educational attainment, community college, CEGEP and others","Total travel (x 1,000)",v52857089,2.34.1,630.0
